Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
829,24,Male,Socks,Clothing,3,Nevada,M,Peach,Winter,3.1,Yes,Store Pickup,Yes,Yes,27,PayPal,Monthly
830,42,Male,Socks,Clothing,13,Idaho,S,Silver,Fall,4.6,Yes,Store Pickup,Yes,Yes,14,Credit Card,Every 3 Months
831,41,Male,Shorts,Clothing,40,Wyoming,M,Maroon,Spring,3.9,Yes,Free Shipping,Yes,Yes,5,Credit Card,Quarterly
832,66,Male,Gloves,Accessories,6,Washington,M,Red,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Cash,Weekly
833,58,Male,Jacket,Outerwear,133,California,L,Blue,Fall,4.6,Yes,Express,Yes,Yes,28,Cash,Monthly
834,43,Male,Handbag,Accessories,200,Oklahoma,M,Purple,Spring,4.6,Yes,Next Day Air,Yes,Yes,11,Credit Card,Every 3 Months
835,52,Male,Backpack,Accessories,32,Nevada,M,Indigo,Summer,4.8,Yes,Next Day Air,Yes,Yes,18,Credit Card,Every 3 Months
836,35,Male,Boots,Footwear,47,Maryland,L,Indigo,Fall,3.5,Yes,Free Shipping,Yes,Yes,21,Debit Card,Monthly
837,23,Male,Gloves,Accessories,4,West Virginia,L,Violet,Spring,3.2,Yes,Standard,Yes,Yes,22,Cash,Monthly
838,25,Male,Hoodie,Clothing,27,Illinois,L,Brown,Spring,3.7,Yes,Standard,Yes,Yes,33,Cash,Bi-Weekly
839,33,Male,Coat,Outerwear,111,Kentucky,M,Gray,Spring,4.6,Yes,Express,Yes,Yes,49,Credit Card,Weekly
840,48,Male,Shirt,Clothing,33,Illinois,L,Teal,Summer,4.6,Yes,Express,Yes,Yes,10,Debit Card,Quarterly
841,42,Male,Shirt,Clothing,68,Alabama,L,Teal,Spring,4.5,Yes,Store Pickup,Yes,Yes,18,PayPal,Every 3 Months
842,55,Male,Sweater,Clothing,21,Texas,M,Beige,Fall,4.9,Yes,Next Day Air,Yes,Yes,28,PayPal,Monthly
843,59,Male,Shirt,Clothing,13,Missouri,M,Violet,Spring,4.6,Yes,Next Day Air,Yes,Yes,25,PayPal,Monthly
844,65,Male,Hoodie,Clothing,58,Pennsylvania,S,Beige,Fall,4.2,Yes,Next Day Air,Yes,Yes,6,PayPal,Quarterly
845,59,Male,Sandals,Footwear,67,Missouri,L,Purple,Spring,4.6,Yes,Next Day Air,Yes,Yes,44,Venmo,Weekly
846,31,Male,Belt,Accessories,14,Michigan,XL,Charcoal,Fall,4.9,Yes,Store Pickup,Yes,Yes,30,Venmo,Monthly
847,49,Male,Boots,Footwear,13,Kentucky,M,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,42,Debit Card,Weekly
848,53,Male,Hoodie,Clothing,42,New Jersey,L,Blue,Spring,4.5,Yes,Next Day Air,Yes,Yes,30,PayPal,Monthly
849,48,Male,Sandals,Footwear,69,Delaware,M,Lavender,Summer,4.2,Yes,Free Shipping,Yes,Yes,33,Credit Card,Bi-Weekly
850,23,Male,Jeans,Clothing,69,Missouri,S,Charcoal,Winter,4.3,Yes,Express,Yes,Yes,24,PayPal,Monthly
851,68,Male,Shoes,Footwear,61,Connecticut,L,Turquoise,Spring,3.5,Yes,Next Day Air,Yes,Yes,13,Venmo,Every 3 Months
852,35,Male,Sandals,Footwear,30,Massachusetts,M,Red,Summer,4.2,Yes,Next Day Air,Yes,Yes,19,Debit Card,Every 3 Months
853,34,Male,Dress,Clothing,11,Florida,L,Yellow,Summer,3.4,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
854,62,Male,Hat,Accessories,5,Delaware,L,Orange,Summer,3.0,Yes,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly
855,21,Male,Pants,Clothing,53,California,L,Blue,Fall,3.8,Yes,Standard,Yes,Yes,22,Venmo,Monthly
856,70,Male,Socks,Clothing,3,Oregon,L,Gold,Fall,3.2,Yes,Free Shipping,Yes,Yes,14,Credit Card,Every 3 Months
857,55,Male,Shirt,Clothing,45,Alaska,M,Gold,Spring,4.2,Yes,Next Day Air,Yes,Yes,47,Debit Card,Weekly
858,43,Male,Shorts,Clothing,38,Missouri,L,Cyan,Spring,3.6,Yes,Next Day Air,Yes,Yes,50,Debit Card,Weekly
859,19,Male,Jacket,Outerwear,35,Oklahoma,L,Olive,Winter,3.6,Yes,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly
860,47,Male,Hoodie,Clothing,60,Wisconsin,M,Teal,Spring,4.5,Yes,Store Pickup,Yes,Yes,7,Debit Card,Quarterly
861,26,Male,Shoes,Footwear,167,South Carolina,M,Maroon,Fall,4.6,Yes,Express,Yes,Yes,3,Cash,Annually
862,46,Male,Skirt,Clothing,31,Virginia,XL,Green,Spring,4.2,Yes,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
863,19,Male,Coat,Outerwear,34,Arkansas,M,Charcoal,Fall,4.9,Yes,Next Day Air,Yes,Yes,13,PayPal,Every 3 Months
864,49,Male,Sneakers,Footwear,54,Vermont,M,Cyan,Spring,4.4,Yes,Express,Yes,Yes,42,PayPal,Weekly
865,51,Male,Jeans,Clothing,31,Kentucky,S,Charcoal,Fall,3.5,Yes,Next Day Air,Yes,Yes,5,PayPal,Quarterly
866,64,Male,Blouse,Clothing,18,Colorado,L,Charcoal,Fall,4.4,Yes,Express,Yes,Yes,23,Venmo,Monthly
867,67,Male,Sunglasses,Accessories,6,New Mexico,M,Lavender,Spring,2.5,Yes,Standard,Yes,Yes,11,PayPal,Every 3 Months
868,37,Male,Jacket,Outerwear,79,Colorado,M,Turquoise,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,23,Bank Transfer,Monthly
869,40,Male,Dress,Clothing,48,North Carolina,M,Green,Summer,4.2,Yes,Free Shipping,Yes,Yes,2,Credit Card,Annually
870,38,Male,Hat,Accessories,11,New Hampshire,M,Silver,Spring,3.0,Yes,Store Pickup,Yes,Yes,33,PayPal,Bi-Weekly
871,66,Male,Hoodie,Clothing,17,West Virginia,M,Blue,Fall,4.7,Yes,Next Day Air,Yes,Yes,6,Bank Transfer,Quarterly
872,47,Male,Handbag,Accessories,188,Hawaii,M,Charcoal,Fall,4.7,Yes,Store Pickup,Yes,Yes,45,Debit Card,Weekly
873,56,Male,Jeans,Clothing,63,North Dakota,M,Pink,Summer,4.5,Yes,Express,Yes,Yes,25,Cash,Monthly
874,51,Male,Boots,Footwear,13,Mississippi,M,Pink,Spring,4.5,Yes,Store Pickup,Yes,Yes,24,Venmo,Monthly
875,25,Male,Jacket,Outerwear,62,Maine,M,Magenta,Spring,4.5,Yes,Next Day Air,Yes,Yes,10,Venmo,Quarterly
876,37,Male,Sandals,Footwear,31,North Dakota,L,Gray,Summer,4.0,Yes,Free Shipping,Yes,Yes,7,Bank Transfer,Quarterly
877,41,Male,Belt,Accessories,12,Nebraska,L,Gray,Spring,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Annually
878,64,Male,Handbag,Accessories,64,Nebraska,M,Orange,Summer,3.8,Yes,2-Day Shipping,Yes,Yes,45,Venmo,Weekly
879,23,Male,Sunglasses,Accessories,4,Tennessee,S,Black,Summer,2.8,Yes,Free Shipping,Yes,Yes,37,Debit Card,Fortnightly
880,62,Male,Skirt,Clothing,39,Wyoming,S,Lavender,Summer,4.1,Yes,2-Day Shipping,Yes,Yes,14,PayPal,Every 3 Months
881,39,Male,Backpack,Accessories,43,Nevada,L,Red,Fall,3.7,Yes,Free Shipping,Yes,Yes,25,Debit Card,Monthly
882,52,Male,Sandals,Footwear,43,South Carolina,M,Silver,Fall,3.5,Yes,Next Day Air,Yes,Yes,18,Venmo,Every 3 Months
883,50,Male,Boots,Footwear,27,Virginia,M,Cyan,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Fortnightly
884,28,Male,Sneakers,Footwear,67,Pennsylvania,S,Gold,Summer,4.3,Yes,Next Day Air,Yes,Yes,30,Bank Transfer,Monthly
885,67,Male,Skirt,Clothing,30,Hawaii,L,Yellow,Summer,3.9,Yes,2-Day Shipping,Yes,Yes,34,Bank Transfer,Bi-Weekly
886,41,Male,Dress,Clothing,16,Ohio,L,Purple,Summer,4.3,Yes,Next Day Air,Yes,Yes,49,Debit Card,Weekly
887,19,Male,Shorts,Clothing,46,Utah,S,Brown,Summer,4.4,Yes,Express,Yes,Yes,48,Bank Transfer,Weekly
888,70,Male,Handbag,Accessories,40,Minnesota,L,Turquoise,Spring,4.3,Yes,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly
889,49,Male,Scarf,Accessories,11,New Hampshire,S,Gold,Fall,3.3,Yes,Free Shipping,Yes,Yes,44,Cash,Weekly
890,59,Male,Belt,Accessories,19,Arizona,S,Olive,Fall,4.4,Yes,Next Day Air,Yes,Yes,50,Venmo,Weekly
891,52,Male,Gloves,Accessories,7,New York,S,Purple,Fall,3.0,Yes,Store Pickup,Yes,Yes,47,Credit Card,Weekly
892,20,Male,Skirt,Clothing,44,Pennsylvania,S,Lavender,Summer,3.8,Yes,2-Day Shipping,Yes,Yes,24,PayPal,Monthly
893,31,Male,Shorts,Clothing,45,New Mexico,L,Gray,Summer,4.5,Yes,Store Pickup,Yes,Yes,43,Debit Card,Weekly
894,33,Male,Backpack,Accessories,31,Nebraska,M,Red,Spring,4.1,Yes,Standard,Yes,Yes,14,Venmo,Every 3 Months
895,44,Male,Hoodie,Clothing,42,Wyoming,L,Purple,Fall,4.1,Yes,Standard,Yes,Yes,3,Debit Card,Annually
896,40,Male,Hat,Accessories,18,Mississippi,XL,Olive,Summer,3.7,Yes,Next Day Air,Yes,Yes,33,Debit Card,Bi-Weekly
897,69,Male,Jewelry,Accessories,57,Arkansas,M,Lavender,Spring,4.8,Yes,Next Day Air,Yes,Yes,38,Cash,Fortnightly
898,29,Male,Shirt,Clothing,11,Illinois,M,Gray,Summer,3.4,Yes,Free Shipping,Yes,Yes,46,Venmo,Weekly
899,54,Male,Belt,Accessories,11,Nevada,L,Red,Summer,2.8,Yes,Store Pickup,Yes,Yes,19,Bank Transfer,Every 3 Months
900,65,Male,Sweater,Clothing,18,Rhode Island,M,Peach,Winter,4.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Every 3 Months
901,54,Male,Hat,Accessories,12,West Virginia,L,Gray,Winter,4.2,Yes,Next Day Air,Yes,Yes,42,Bank Transfer,Weekly
902,60,Male,Scarf,Accessories,8,Missouri,L,Violet,Winter,3.1,Yes,Standard,Yes,Yes,34,Cash,Bi-Weekly
903,43,Male,Hat,Accessories,7,Kentucky,M,Beige,Summer,2.5,Yes,Standard,Yes,Yes,5,Cash,Quarterly
904,44,Male,Jacket,Outerwear,187,Washington,M,Blue,Spring,4.3,Yes,Store Pickup,Yes,Yes,3,PayPal,Annually
905,69,Male,T-shirt,Clothing,37,Alaska,L,Magenta,Summer,3.6,Yes,2-Day Shipping,Yes,Yes,46,PayPal,Weekly
906,46,Male,Dress,Clothing,40,Mississippi,S,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,16,Venmo,Every 3 Months
907,41,Male,Pants,Clothing,48,South Carolina,M,Red,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,21,Debit Card,Monthly
908,32,Male,Sweater,Clothing,29,Missouri,L,Cyan,Winter,4.1,Yes,Next Day Air,Yes,Yes,34,Credit Card,Bi-Weekly
909,26,Male,Sunglasses,Accessories,15,New Jersey,M,Turquoise,Summer,4.3,Yes,Express,Yes,Yes,9,PayPal,Quarterly
910,61,Male,Belt,Accessories,4,Louisiana,L,Silver,Summer,3.3,Yes,Free Shipping,Yes,Yes,36,PayPal,Fortnightly
911,49,Male,Hoodie,Clothing,63,South Carolina,S,Pink,Fall,4.8,Yes,Store Pickup,Yes,Yes,22,Credit Card,Monthly
912,53,Male,Pants,Clothing,48,Vermont,M,Black,Winter,4.0,Yes,Free Shipping,Yes,Yes,2,Bank Transfer,Annually
913,24,Male,Hoodie,Clothing,67,Arkansas,M,Green,Spring,4.3,Yes,Store Pickup,Yes,Yes,32,Bank Transfer,Bi-Weekly
914,37,Male,Sneakers,Footwear,16,Utah,M,Yellow,Summer,3.8,Yes,Next Day Air,Yes,Yes,29,Cash,Monthly
915,43,Male,Dress,Clothing,48,Washington,L,Purple,Summer,4.5,Yes,Store Pickup,Yes,Yes,27,Venmo,Monthly
916,31,Male,Dress,Clothing,13,Rhode Island,L,Purple,Summer,3.7,Yes,Standard,Yes,Yes,33,Credit Card,Bi-Weekly
917,49,Male,Jeans,Clothing,68,Illinois,S,Blue,Winter,4.4,Yes,Next Day Air,Yes,Yes,16,Venmo,Every 3 Months
918,69,Male,Sweater,Clothing,64,Missouri,M,Maroon,Fall,4.8,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Every 3 Months
919,65,Male,Shorts,Clothing,43,North Carolina,M,Orange,Summer,3.6,Yes,Free Shipping,Yes,Yes,11,Cash,Every 3 Months
920,41,Male,Shirt,Clothing,70,Massachusetts,L,Green,Summer,4.4,Yes,Next Day Air,Yes,Yes,17,Debit Card,Every 3 Months
921,37,Male,Belt,Accessories,8,Arkansas,XL,Gold,Winter,3.3,Yes,Free Shipping,Yes,Yes,37,Cash,Fortnightly
922,70,Male,Coat,Outerwear,60,South Dakota,L,Silver,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,18,PayPal,Every 3 Months
923,63,Male,Sneakers,Footwear,57,Georgia,M,Cyan,Summer,4.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Every 3 Months
924,55,Male,Shirt,Clothing,16,Arkansas,M,Silver,Winter,3.6,Yes,2-Day Shipping,Yes,Yes,7,PayPal,Quarterly
925,52,Male,Socks,Clothing,11,Kansas,XL,Beige,Fall,3.2,Yes,Standard,Yes,Yes,37,Cash,Fortnightly
926,22,Male,Jeans,Clothing,31,Arizona,L,Teal,Winter,4.5,Yes,Next Day Air,Yes,Yes,8,Cash,Quarterly
927,54,Male,Jeans,Clothing,48,Massachusetts,XL,Green,Summer,4.3,Yes,Next Day Air,Yes,Yes,11,Cash,Every 3 Months
928,28,Male,Sneakers,Footwear,67,New Mexico,L,Black,Summer,4.4,Yes,Next Day Air,Yes,Yes,8,Venmo,Quarterly
929,67,Male,Dress,Clothing,30,Arkansas,XL,Yellow,Spring,3.6,Yes,Standard,Yes,Yes,31,Cash,Bi-Weekly
930,59,Male,Boots,Footwear,22,Nebraska,M,White,Winter,3.9,Yes,Next Day Air,Yes,Yes,26,Debit Card,Monthly
931,26,Male,T-shirt,Clothing,23,Hawaii,L,Green,Spring,4.6,Yes,Next Day Air,Yes,Yes,20,Credit Card,Every 3 Months
932,24,Male,Coat,Outerwear,37,Nebraska,M,Silver,Spring,5.0,Yes,Next Day Air,Yes,Yes,24,Bank Transfer,Monthly
933,62,Male,Skirt,Clothing,37,Indiana,L,Blue,Summer,4.7,Yes,Next Day Air,Yes,Yes,45,Debit Card,Weekly
934,70,Male,Sneakers,Footwear,46,Colorado,M,Magenta,Fall,3.7,Yes,Standard,Yes,Yes,33,Debit Card,Bi-Weekly
935,45,Male,Jeans,Clothing,39,Oregon,S,Yellow,Spring,4.2,Yes,Next Day Air,Yes,Yes,21,Bank Transfer,Monthly
936,58,Male,Hoodie,Clothing,23,Ohio,L,White,Fall,4.5,Yes,Store Pickup,Yes,Yes,2,Bank Transfer,Annually
937,31,Male,Shoes,Footwear,92,Maine,M,Pink,Fall,4.8,Yes,Express,Yes,Yes,28,Cash,Monthly
938,32,Male,Shorts,Clothing,30,Iowa,M,Magenta,Summer,3.7,Yes,Free Shipping,Yes,Yes,18,Venmo,Every 3 Months
939,36,Male,Blouse,Clothing,51,Wisconsin,S,Teal,Winter,3.8,Yes,Standard,Yes,Yes,21,Debit Card,Monthly
940,25,Male,T-shirt,Clothing,62,New York,L,Indigo,Winter,4.7,Yes,Store Pickup,Yes,Yes,24,Credit Card,Monthly
941,48,Male,Belt,Accessories,9,Colorado,S,Maroon,Winter,3.4,Yes,Free Shipping,Yes,Yes,15,PayPal,Every 3 Months
942,39,Male,Handbag,Accessories,80,Illinois,L,Black,Spring,4.7,Yes,Express,Yes,Yes,38,PayPal,Fortnightly
943,26,Male,Dress,Clothing,43,Arizona,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Fortnightly
944,32,Male,Hat,Accessories,15,Oklahoma,L,Cyan,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
945,54,Male,Belt,Accessories,16,Indiana,S,Gray,Spring,4.0,Yes,Standard,Yes,Yes,39,Cash,Fortnightly
946,38,Male,Boots,Footwear,29,Minnesota,M,Violet,Spring,4.5,Yes,Store Pickup,Yes,Yes,8,Venmo,Quarterly
947,46,Male,Coat,Outerwear,77,Pennsylvania,XL,Blue,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,4,PayPal,Annually
948,57,Male,Blouse,Clothing,45,Indiana,M,Charcoal,Fall,4.1,Yes,Standard,Yes,Yes,6,Cash,Quarterly
949,49,Male,Hat,Accessories,16,Alabama,L,Olive,Fall,4.7,Yes,Store Pickup,Yes,Yes,11,Venmo,Every 3 Months
950,33,Male,Jeans,Clothing,19,Montana,M,Olive,Spring,4.2,Yes,Standard,Yes,Yes,49,Venmo,Weekly
951,54,Male,Backpack,Accessories,20,New Mexico,XL,Turquoise,Winter,4.4,Yes,Express,Yes,Yes,30,PayPal,Monthly
952,47,Male,Dress,Clothing,34,Alaska,M,Cyan,Spring,3.9,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,Bi-Weekly
953,36,Male,Hat,Accessories,16,Idaho,S,Red,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,28,PayPal,Monthly
954,68,Male,Sunglasses,Accessories,4,Utah,S,Cyan,Spring,3.1,Yes,Standard,Yes,Yes,36,Venmo,Fortnightly
955,60,Male,Hat,Accessories,16,Louisiana,S,Turquoise,Winter,3.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
956,55,Male,Dress,Clothing,32,Mississippi,L,Lavender,Spring,4.0,Yes,Next Day Air,Yes,Yes,4,PayPal,Annually
957,29,Male,Shirt,Clothing,37,Mississippi,XL,Cyan,Spring,4.6,Yes,Next Day Air,Yes,Yes,42,Debit Card,Weekly
958,38,Male,Scarf,Accessories,9,Indiana,XL,Violet,Winter,2.6,Yes,Standard,Yes,Yes,11,Cash,Every 3 Months
959,70,Male,Sneakers,Footwear,61,Washington,XL,Beige,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,31,Credit Card,Bi-Weekly
960,36,Male,Skirt,Clothing,60,Nevada,M,Cyan,Spring,4.6,Yes,Store Pickup,Yes,Yes,12,Cash,Every 3 Months
961,18,Male,Jewelry,Accessories,57,Louisiana,XL,Indigo,Summer,4.1,Yes,2-Day Shipping,Yes,Yes,20,Venmo,Every 3 Months
962,62,Male,Boots,Footwear,29,Pennsylvania,L,Olive,Fall,4.1,Yes,Standard,Yes,Yes,37,Debit Card,Fortnightly
963,29,Male,Sunglasses,Accessories,15,Michigan,L,Green,Summer,3.9,Yes,2-Day Shipping,Yes,Yes,26,Debit Card,Monthly
964,21,Male,Boots,Footwear,57,South Carolina,L,Green,Fall,4.0,Yes,Standard,Yes,Yes,14,Credit Card,Every 3 Months
965,42,Male,Sandals,Footwear,67,Arizona,M,Beige,Spring,4.2,Yes,2-Day Shipping,Yes,Yes,12,Venmo,Every 3 Months
966,43,Male,Boots,Footwear,39,Delaware,L,Black,Spring,3.7,Yes,Next Day Air,Yes,Yes,10,Credit Card,Quarterly
967,58,Male,Dress,Clothing,51,Kentucky,M,Brown,Summer,3.6,Yes,2-Day Shipping,Yes,Yes,19,Cash,Every 3 Months
968,27,Male,Hoodie,Clothing,57,Georgia,S,Silver,Spring,3.9,Yes,Free Shipping,Yes,Yes,4,Cash,Annually
969,57,Male,Shorts,Clothing,45,North Carolina,L,Gray,Summer,4.9,Yes,Next Day Air,Yes,Yes,48,Bank Transfer,Weekly
970,40,Male,Coat,Outerwear,102,California,S,Pink,Fall,4.4,Yes,Express,Yes,Yes,37,PayPal,Fortnightly
971,45,Male,Jeans,Clothing,20,California,S,Maroon,Winter,4.9,Yes,Next Day Air,Yes,Yes,4,Cash,Annually
972,47,Male,Sunglasses,Accessories,12,Indiana,M,Cyan,Summer,4.9,Yes,Express,Yes,Yes,15,Credit Card,Every 3 Months
973,61,Male,Sneakers,Footwear,66,Colorado,L,Gold,Spring,3.7,Yes,Next Day Air,Yes,Yes,33,Credit Card,Bi-Weekly
974,60,Male,Jacket,Outerwear,77,Colorado,M,Teal,Fall,4.2,Yes,Free Shipping,Yes,Yes,30,Bank Transfer,Monthly
975,69,Male,Skirt,Clothing,64,North Carolina,M,Beige,Spring,4.2,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Monthly
976,58,Male,Sweater,Clothing,18,Washington,M,Olive,Fall,5.0,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
977,34,Male,T-shirt,Clothing,54,Florida,M,Gray,Summer,5.0,Yes,Express,Yes,Yes,50,Credit Card,Weekly
978,20,Male,Belt,Accessories,4,Washington,M,Black,Summer,3.1,Yes,Free Shipping,Yes,Yes,34,Cash,Bi-Weekly
979,56,Male,Gloves,Accessories,16,Colorado,M,Turquoise,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,33,Credit Card,Bi-Weekly
980,64,Male,Hat,Accessories,3,New Hampshire,S,Brown,Fall,2.6,Yes,Standard,Yes,Yes,34,Debit Card,Bi-Weekly
981,56,Male,Boots,Footwear,48,Maryland,S,Magenta,Spring,4.9,Yes,Express,Yes,Yes,39,PayPal,Fortnightly
982,27,Male,Belt,Accessories,12,Maryland,M,Silver,Summer,3.8,Yes,Free Shipping,Yes,Yes,47,Credit Card,Weekly
983,35,Male,Coat,Outerwear,137,Texas,S,Red,Winter,4.6,Yes,Store Pickup,Yes,Yes,37,PayPal,Fortnightly
984,24,Male,Hat,Accessories,4,New Mexico,L,Indigo,Spring,2.7,Yes,Store Pickup,Yes,Yes,40,Venmo,Fortnightly
985,26,Male,Shoes,Footwear,79,Utah,M,Green,Winter,3.7,Yes,Free Shipping,Yes,Yes,8,Credit Card,Quarterly
986,32,Male,Handbag,Accessories,190,West Virginia,M,Gray,Winter,4.6,Yes,Express,Yes,Yes,12,Bank Transfer,Every 3 Months
987,54,Male,Scarf,Accessories,18,Connecticut,S,Peach,Fall,4.6,Yes,Express,Yes,Yes,36,Bank Transfer,Fortnightly
988,62,Male,Handbag,Accessories,49,West Virginia,M,Charcoal,Spring,4.5,Yes,Store Pickup,Yes,Yes,48,PayPal,Weekly
989,50,Male,Pants,Clothing,23,Ohio,M,Orange,Spring,4.4,Yes,Next Day Air,Yes,Yes,47,PayPal,Weekly
990,70,Male,Shoes,Footwear,59,Texas,M,Beige,Winter,4.9,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
991,48,Male,Sunglasses,Accessories,13,Washington,S,Yellow,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,24,Cash,Monthly
992,20,Male,Shorts,Clothing,20,Wisconsin,XL,White,Spring,4.2,Yes,Free Shipping,Yes,Yes,40,Bank Transfer,Fortnightly
993,46,Male,Jacket,Outerwear,125,Louisiana,M,Gray,Spring,4.4,Yes,Next Day Air,Yes,Yes,50,Debit Card,Weekly
994,51,Male,Sandals,Footwear,13,Iowa,M,Peach,Summer,4.5,Yes,Express,Yes,Yes,25,Cash,Monthly
995,53,Male,Shoes,Footwear,131,New York,L,Violet,Fall,4.3,Yes,Express,Yes,Yes,20,Debit Card,Every 3 Months
996,44,Male,Jewelry,Accessories,80,Idaho,M,Magenta,Summer,3.7,Yes,Next Day Air,Yes,Yes,10,Venmo,Quarterly
997,29,Male,Sandals,Footwear,60,Delaware,L,Maroon,Summer,3.8,Yes,Standard,Yes,Yes,32,Bank Transfer,Bi-Weekly
998,64,Male,Pants,Clothing,45,Kentucky,M,Cyan,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,31,Cash,Bi-Weekly
999,51,Male,Shoes,Footwear,119,Connecticut,M,White,Winter,4.2,Yes,Standard,Yes,Yes,48,Bank Transfer,Weekly
1000,50,Male,Socks,Clothing,17,New Mexico,L,Brown,Winter,4.2,Yes,Next Day Air,Yes,Yes,23,Debit Card,Monthly
1001,43,Male,Socks,Clothing,7,Georgia,M,Red,Winter,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Annually
1002,61,Male,Dress,Clothing,58,Washington,M,Orange,Spring,4.7,Yes,Store Pickup,Yes,Yes,4,Debit Card,Annually
1003,55,Male,Shoes,Footwear,136,North Dakota,M,White,Fall,4.3,Yes,Store Pickup,Yes,Yes,3,Bank Transfer,Annually
1004,56,Male,Hat,Accessories,13,Ohio,M,Green,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,3,Cash,Annually
1005,33,Male,Backpack,Accessories,68,Tennessee,M,Black,Winter,4.2,Yes,Standard,Yes,Yes,44,Cash,Weekly
1006,43,Male,Backpack,Accessories,33,New York,M,Gold,Fall,3.8,Yes,Free Shipping,Yes,Yes,5,Debit Card,Quarterly
1007,21,Male,Pants,Clothing,13,Michigan,S,Lavender,Fall,3.5,Yes,Standard,Yes,Yes,50,Venmo,Weekly
1008,58,Male,Gloves,Accessories,19,Georgia,XL,Turquoise,Winter,4.4,Yes,Next Day Air,Yes,Yes,2,Credit Card,Annually
1009,41,Male,Scarf,Accessories,9,New Mexico,M,Pink,Spring,3.4,Yes,Store Pickup,Yes,Yes,29,PayPal,Monthly
1010,39,Male,Hoodie,Clothing,40,Louisiana,M,Silver,Spring,4.7,Yes,Next Day Air,Yes,Yes,11,Venmo,Every 3 Months
1011,54,Male,Jeans,Clothing,45,South Dakota,XL,Gray,Fall,4.4,Yes,Express,Yes,Yes,37,Credit Card,Fortnightly
1012,43,Male,Backpack,Accessories,24,Montana,L,Indigo,Fall,4.7,Yes,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly
1013,28,Male,Sandals,Footwear,59,New Mexico,L,Teal,Summer,4.3,Yes,Express,Yes,Yes,27,Credit Card,Monthly
1014,59,Male,Belt,Accessories,8,South Carolina,XL,Green,Fall,3.4,Yes,Standard,Yes,Yes,31,Venmo,Bi-Weekly
1015,28,Male,Shoes,Footwear,146,Ohio,M,Violet,Spring,4.9,Yes,Store Pickup,Yes,Yes,36,Debit Card,Fortnightly
1016,68,Male,Gloves,Accessories,4,North Carolina,M,Cyan,Winter,2.8,Yes,Store Pickup,Yes,Yes,34,Cash,Bi-Weekly
1017,20,Male,Belt,Accessories,3,Idaho,XL,Blue,Summer,3.2,Yes,Free Shipping,Yes,Yes,15,Bank Transfer,Every 3 Months
1018,21,Male,Jacket,Outerwear,39,Oklahoma,L,Orange,Spring,4.3,Yes,Next Day Air,Yes,Yes,14,Credit Card,Every 3 Months
1019,50,Male,Dress,Clothing,53,Georgia,XL,Charcoal,Summer,3.7,Yes,2-Day Shipping,Yes,Yes,46,Cash,Weekly
1020,32,Male,Shirt,Clothing,58,Kentucky,S,Beige,Spring,4.7,Yes,Next Day Air,Yes,Yes,33,Venmo,Bi-Weekly
1021,24,Male,Scarf,Accessories,6,Delaware,M,Black,Spring,2.8,Yes,Store Pickup,Yes,Yes,41,Debit Card,Weekly
1022,55,Male,Coat,Outerwear,90,Massachusetts,S,Lavender,Winter,4.6,Yes,Next Day Air,Yes,Yes,39,PayPal,Fortnightly
1023,61,Male,Handbag,Accessories,37,Nebraska,M,Lavender,Winter,3.5,Yes,Next Day Air,Yes,Yes,7,Cash,Quarterly
